區域,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
永康區,五王里,09月06日,日,13:30,台南市永康區中山東路218巷28弄,23.010234,120.2368,8,6,8,30,60
南區,田寮里,09月06日,日,13:30,台南市南區建南路,22.9849463,120.190434,6,6,6,25,60
中西區,文賢里,09月07日,一,08:30,台南市中西區武聖路69巷,23.004103,120.1909534,4,1,4,20,46
北區,大山里,09月07日,一,08:30,台南市北區精忠街,23.0089814,120.2137009,6,6,6,15,17
安南區,溪東里,09月07日,一,08:30,台南市安南區府安路五段,23.0229966,120.1988718,1,1,1,8,16
南區,金華里,09月07日,一,08:30,台南市南區尊南街,22.9781741,120.1888805,7,7,7,35,76
中西區,文賢里,09月07日,一,13:30,台南市中西區武聖路69巷,23.004103,120.1909534,4,1,4,20,46
北區,五福里、三德里,09月07日,一,13:30,台南市北區長北街,23.0020765,120.2044383,5,5,5,15,17
安南區,溪東里,09月07日,一,13:30,台南市安南區府安路五段,23.0229966,120.1988718,1,1,1,8,16
南區,金華里,09月07日,一,13:30,台南市南區尊南街,22.9781741,120.1888805,6,6,6,35,76
中西區,中正里,09月08日,二,08:30,台南市中西區國華街三段,22.9965617,120.198531,6,1,6,50,100
北區,三德里,09月08日,二,08:30,台南市北區長北街,23.0020765,120.2044383,1,1,1,5,6
南區,開南里,09月08日,二,08:30,台南市南區新建路53巷,22.9658566,120.1859523,8,8,8,25,58
北區,三德里、五福里,09月08日,二,13:30,台南市北區長北街,23.0020765,120.2044383,4,4,4,25,36
北區,和順里,09月08日,二,13:30,台南市北區公園南路,23.0017534,120.2062211,4,4,4,30,30
南區,開南里,09月08日,二,13:30,台南市南區新建路,22.9698862,120.1852356,7,7,7,25,58
中西區,民權里,09月09日,三,08:30,台南市中西區和平街,22.9965807,120.1967339,4,1,4,15,30
北區,國姓里,09月09日,三,08:30,台南市北區公園路433巷,23.0079621,120.2089203,4,4,4,52,62
南區,國宅里,09月09日,三,08:30,台南市南區金華路二段3巷,22.975668,120.1892072,3,3,3,15,34
中西區,安海里,09月09日,三,13:30,台南市中西區環河街,22.9943034,120.1923404,4,1,4,12,24
北區,國姓里,09月09日,三,13:30,台南市北區公園路433巷,23.0079621,120.2089203,4,4,4,20,26
北區,小康里,09月09日,三,13:30,台南市北區實踐街,23.0137872,120.218328,4,4,4,30,40
南區,國宅里,09月09日,三,13:30,台南市南區新興路418巷1弄,22.9752494,120.1865908,3,3,3,20,44
中西區,民生里、郡西里,09月10日,四,08:30,台南市中西區武英街,22.9892856,120.1916559,4,1,4,27,60
北區,大豐里,09月10日,四,08:30,台南市北區文賢路313巷,23.0068093,120.191224,7,7,7,35,48
東區,泉南里,09月10日,四,08:30,臺南市東區樹林街一段,22.9864633,120.2139534,2,2,2,15,34
中西區,郡西里,09月10日,四,13:30,台南市中西區郡西路,22.9897911,120.1944008,4,1,4,27,60
北區,大豐里,09月10日,四,13:30,台南市北區文賢路313巷,23.0068093,120.191224,7,7,7,35,48
東區,泉南里,09月10日,四,13:30,臺南市東區樹林街一段,22.9864633,120.2139534,2,2,2,15,44
中西區,保安里,09月11日,五,08:30,台南市中西區保安路,22.9907552,120.1942737,4,1,4,45,90
北區,大和里,09月11日,五,08:30,台南市北區文賢路799巷,23.0159725,120.1926548,7,7,7,14,48
南區,新興里,09月11日,五,08:30,台南市南區三官路,22.9788784,120.1938121,5,5,5,15,35
中西區,協和里,09月11日,五,13:30,台南市中西區民族路三段,22.998857,120.195917,4,1,4,45,90
北區,大和里,09月11日,五,13:30,台南市北區文賢路799巷,23.0159725,120.1926548,7,7,7,14,48
南區,新興里,09月11日,五,13:30,台南市南區夏林路222巷,22.9795118,120.1943692,5,5,5,15,35
北區,仁愛里,09月12日,六,08:30,台南市北區東豐路227巷24弄,23.0028592,120.2206589,4,4,4,35,44
南區,新昌里,09月12日,六,08:30,台南市南區國華路一段,22.9843142,120.1963711,7,7,7,27,60
北區,仁愛里,09月12日,六,13:30,台南市北區東豐路227巷24弄,23.0028592,120.2206589,3,3,3,35,44
南區,新昌里,09月12日,六,13:30,台南市南區大德街141巷,22.9852426,120.1957805,7,7,7,27,60
中西區,福安里,09月13日,日,08:30,台南市中西區友愛街,22.9914679,120.1996507,6,1,6,40,80
東區,富裕里,09月13日,日,08:30,臺南市東區裕農路,22.9886146,120.2360187,3,3,3,22,44
中西區,文賢里,09月13日,日,13:30,台南市中西區西和路,23.0014309,120.190367,6,1,6,43,80
東區,富裕里,09月13日,日,13:30,臺南市東區裕豐街84巷,22.9850963,120.2282916,2,2,2,17,34
中西區,水仙里,09月14日,一,08:30,台南市中西區西門路二段,22.9948555,120.1993164,6,1,6,50,100
北區,興北里,09月14日,一,08:30,台南市北區公園北路,23.004726,120.2095967,5,5,5,30,38
中西區,水仙里,09月14日,一,13:30,台南市中西區民權路三段,22.9982223,120.1933076,6,1,6,50,100
北區,興北里,09月14日,一,13:30,台南市北區公園北路,23.004726,120.2095967,5,5,5,29,38
南區,田寮里,09月14日,一,13:30,台南市南區新興路,22.9755921,120.1914431,0,0,0,1,2
東區,新東里,09月15日,二,08:30,台南市東區林森路二段,22.9930185,120.2237838,2,2,2,22,44
南區,文南里,09月15日,二,08:30,台南市南區健康路二段,22.9817861,120.1896682,12,12,12,40,89
南區,金華里,09月15日,二,08:30,台南市南區健康路二段401巷,22.9813884,120.1863575,4,4,4,10,23
東區,新東里,09月15日,二,13:30,台南市東區裕農路43巷,22.9862711,120.2259161,2,2,2,22,44
南區,金華里,09月15日,二,13:30, 台南市南區新孝路126巷,22.9791342,120.1868432,10,10,10,50,107
中西區,大涼里、民主里,09月16日,三,08:30,台南市中西區環河街,22.9943034,120.1923404,6,1,6,45,100
安南區,海佃里,09月16日,三,08:30,台南市安南區海佃路一段,23.0246827,120.1913975,1,1,1,29,58
南區,新興里,09月16日,三,08:30,台南市南區夏林路,22.9814464,120.1949463,4,4,4,11,25
安平區,華平里,09月16日,三,13:30,台南市安平區永華八街,22.9928443,120.1723945,4,4,4,45,90
安南區,海佃里,09月16日,三,13:30,台南市安南區國安街56巷,23.0254315,120.1896059,1,1,1,29,58
南區,新興里,09月16日,三,13:30,台南市南區夏林路,22.9814464,120.1949463,4,4,4,11,25
中西區,元安里,09月17日,四,08:30,台南市中西區海安路一段,22.9905073,120.1954312,6,1,6,45,100
北區,振興里,09月17日,四,08:30,台南市北區長榮路四段,23.0044362,120.2225096,4,4,4,20,24
南區,郡南里,09月17日,四,08:30,台南市南區德興路,22.9624922,120.1925225,10,10,10,52,118
中西區,郡西里、民主里,09月17日,四,13:30,台南市中西區郡西路,22.9897911,120.1944008,6,1,6,45,100
北區,振興里,09月17日,四,13:30,台南市北區長榮路四段,23.0044362,120.2225096,4,4,4,20,24
南區,國宅里,09月17日,四,13:30,台南市南區金華路二段33巷,22.9771738,120.1893292,9,9,9,52,118
中西區,協和里、藥王里,09月18日,五,08:30,台南市中西區臨安路一段,23.0001187,120.1918672,6,1,6,27,70
北區,大港里,09月18日,五,08:30,台南市北區賢北街,23.0086008,120.183011,5,5,5,40,86
南區,文南里,09月18日,五,08:30,台南市南區長南街,22.9829027,120.1902544,8,8,8,40,87
中西區,藥王里,09月18日,五,13:30,台南市中西區西和路,23.0014309,120.190367,6,1,6,27,70
北區,大港里,09月18日,五,13:30,台南市北區賢北街,23.0086008,120.183011,5,5,5,40,86
南區,明亮里,09月18日,五,13:30,台南市南區新都路,22.9687954,120.1991287,8,8,8,40,87
北區,小康里,09月19日,六,08:30,台南市北區實踐街,23.0137872,120.218328,2,2,2,18,40
永康區,二王里,09月19日,六,08:30,台南市永康區中山南路644巷29弄,23.0189294,120.2428958,4,3,4,12,24
東區,莊敬里,09月19日,六,08:30,臺南市東區莊敬路205巷,22.9970992,120.2322494,2,2,2,20,40
南區,府南里,09月19日,六,08:30,台南市南區大成路二段177巷,22.9745067,120.1924609,6,6,6,28,65
南區,廣州里,09月19日,六,08:30,台南市南區健康路二段,22.9817861,120.1896682,2,2,2,12,31
北區,小康里,09月19日,六,13:30,台南市北區實踐街,23.0137872,120.218328,2,2,2,15,40
永康區,二王里,09月19日,六,13:30,台南市永康區中山南路416巷2弄,23.0169602,120.2395459,4,3,4,12,24
東區,富裕里、富強里,09月19日,六,13:30,台南市東區裕豐街,22.9867372,120.2270444,2,2,2,20,40
南區,廣州里,09月19日,六,13:30,台南市南區建民街,22.9687954,120.1991287,7,7,7,40,96
中西區,三合里,09月20日,日,08:30,台南市中西區信義街108巷,23.0012214,120.1953678,6,1,6,40,100
安南區,溪頂里,09月20日,日,08:30,台南市安南區惠安街,23.0268638,120.2090036,2,2,2,30,60
東區,東安里,09月20日,日,08:30,台南市東區長榮路二段32巷46弄,22.9874305,120.2205402,2,2,2,30,60
中西區,藥王里,09月20日,日,13:30,台南市中西區臨安路一段,23.0001187,120.1918672,6,1,6,40,100
安南區,溪北里,09月20日,日,13:30,台南市安南區文安街,23.0264309,120.2109878,2,2,2,30,60
東區,崇學里,09月20日,日,13:30,台南市東區崇學路96巷8弄,22.9784657,120.2227211,2,2,2,30,60
中西區,保安里、中正里,09月21日,一,08:30,台南市中西區尊王路,22.9918428,120.1949085,6,1,6,50,100
安南區,溪北里,09月21日,一,08:30,台南市安南區文安街,23.0264309,120.2109878,1,1,1,8,16
南區,田寮里,09月21日,一,08:30,台南市南區夏林路,22.9814464,120.1949463,8,8,8,35,84
北區,大豐里,09月21日,一,13:30,台南市北區文賢路313巷,23.0068093,120.191224,6,6,6,40,87
安南區,溪北里,09月21日,一,13:30,台南市安南區文安街,23.0264309,120.2109878,1,1,1,8,16
東區,東安里、中西里,09月21日,一,13:30,台南市東區長榮路二段,22.9894924,120.219974,2,2,2,23,46
南區,田寮里,09月21日,一,13:30,台南市南區夏林路,22.9814464,120.1949463,7,7,7,35,84
中西區,三民里,09月22日,二,08:30,台南市中西區民權路二段,22.9948606,120.2034776,6,1,6,23,55
北區,三德里,09月22日,二,08:30,台南市北區長北街,23.0020765,120.2044383,2,2,2,5,22
北區,六甲里,09月22日,二,08:30,台南市北區公園路,23.0068369,120.2100531,1,1,1,3,8
永康區,西橋里,09月22日,二,08:30,台南市永康區中華西街,23.0150779,120.2262742,6,6,6,17,34
安南區,溪北里,09月22日,二,08:30,台南市安南區海佃路一段,23.0246827,120.1913975,1,1,1,8,16
東區,新東里、崇誨里,09月22日,二,08:30,台南市東區裕豐街163巷,22.9876894,120.2265009,2,2,2,15,30
南區,明興里,09月22日,二,08:30,台南市南區德興路,22.9624922,120.1925225,8,8,8,41,96
中西區,三民里,09月22日,二,13:30,台南市中西區公園路,22.9954761,120.2056406,6,1,6,23,55
北區,三德里,09月22日,二,13:30,台南市北區長北街,23.0020765,120.2044383,2,2,2,9,22
北區,六甲里,09月22日,二,13:30, 台南市北區公園路,23.0068369,120.2100531,1,1,1,3,8
永康區,西橋里,09月22日,二,13:30,台南市永康區中華西街,23.0150779,120.2262742,6,6,6,15,28
安南區,溪北里,09月22日,二,13:30,台南市安南區海佃路一段,23.0246827,120.1913975,1,1,1,8,16
東區,新東里、崇誨里,09月22日,二,13:30,台南市東區裕豐街163巷,22.9876894,120.2265009,2,2,2,15,30
南區,明興里,09月22日,二,13:30,台南市南區新建路17巷,22.9727896,120.1859204,7,7,7,41,96
中西區,公正里,09月23日,三,08:30,台南市中西區衛民街,22.9930863,120.2091377,4,1,4,36,55
北區,公園里,09月23日,三,08:30,台南市北區北忠街,22.9993886,120.2094168,2,2,2,21,45
永康區,五王里,09月23日,三,08:30,台南市永康區成功路,23.0101748,120.2335556,6,8,9,9,18
安南區,理想里,09月23日,三,08:30,台南市安南區海佃路二段,23.0381178,120.188108,1,1,1,9,18
南區,再興里,09月23日,三,08:30,台南市南區金華路二段,22.9816175,120.1914653,8,8,8,34,82
中西區,銀同里,09月23日,三,13:30,台南市中西區開山路,22.9884387,120.2080123,6,1,6,36,55
北區,公園里,09月23日,三,13:30,台南市北區北忠街,22.9993886,120.2094168,2,2,2,21,45
永康區,五王里,09月23日,三,13:30,台南市永康區成功路,23.0101748,120.2335556,6,8,9,9,18
安南區,理想里,09月23日,三,13:30,台南市安南區海佃路二段150巷,23.0346296,120.1915051,1,1,1,9,18
南區,再興里,09月23日,三,13:30,台南市南區金華路二段,22.9816175,120.1914653,7,7,7,34,82
中西區,光賢里,09月24日,四,08:30,台南市中西區武聖路69巷,23.004103,120.1909534,6,1,6,43,100
北區,仁愛里,09月24日,四,08:30,台南市北區東豐路227巷24弄,23.0028592,120.2206589,5,1,5,19,40
東區,成大里,09月24日,四,08:30,台南市東區育樂街,22.9943326,120.2146941,2,2,2,11,22
南區,金華里,09月24日,四,08:30,台南市南區慶南街,22.978402,120.1900724,9,9,9,40,98
中西區,永華里,09月24日,四,13:30,台南市中西區南門路,22.9868385,120.2043061,6,1,6,43,100
北區,仁愛里,09月24日,四,13:30,台南市北區東豐路227巷24弄,23.002859,120.2206589,5,1,5,21,44
東區,成大里,09月24日,四,13:30,台南市東區育樂街,22.9943326,120.2146941,2,2,2,11,22
南區,金華里,09月24日,四,13:30,台南市南區慶南街,22.978402,120.1900724,9,9,9,40,98
中西區,普濟里,09月25日,五,08:30,台南市中西區普濟街,22.9981488,120.1983336,6,1,6,49,100
北區,長榮里,09月25日,五,08:30,台南市北區長榮路五段41巷,23.0116327,120.2127919,5,1,5,24,46
東區,大福里,09月25日,五,08:30,台南市東區榮譽街,22.975228,120.218398,2,2,2,14,30
南區,府南里,09月25日,五,08:30,台南市南區永成路三段,22.9685684,120.1953595,6,6,6,40,92
中西區,小西里,09月25日,五,13:30,台南市中西區府前路一段,22.989087,120.2045916,4,1,4,31,70
北區,大仁里,09月25日,五,13:30,台南市北區北門路二段247巷,23.0081293,120.2145037,5,1,5,42,88
東區,大福里,09月25日,五,13:30,台南市東區立德二路,22.9751638,120.2157222,2,2,2,14,30
南區,府南里,09月25日,五,13:30,台南市南區永成路三段,22.9685684,120.1953595,6,6,6,40,92
中西區,天后里,09月26日,六,08:15,台南市中西區永福路二段227巷,22.9964654,120.2015978,6,1,6,57,118
東區,小東里,09月26日,六,08:15,台南市東區小東路,23.0000536,120.2270729,2,2,2,21,42
南區,開南里,09月26日,六,08:15,台南市南區新建路37巷,22.9688761,120.1859979,10,10,10,50,100
中西區,協進里,09月26日,六,13:15,台南市中西區環河街,22.9943034,120.1923404,7,1,7,79,165
安南區,幸福里,09月26日,六,13:15,台南市安南區府安路六段,23.0172804,120.1871243,1,1,1,49,102
北區,華興里,09月27日,日,08:15,台南市北區林森路三段,23.0046136,120.2247702,6,6,6,26,54
南區,日新里,09月27日,日,08:15,台南市南區新興路,22.9755921,120.1914431,8,8,8,67,154
安南區,海佃里,09月27日,日,08:15,台南市安南區國安街156巷,23.0250423,120.1870767,2,1,2,20,42
東區,泉南里,09月27日,日,08:15,台南市東區光華街229巷,22.9863004,120.2145632,2,2,2,12,24
中西區,萬昌里、銀同里,09月28日,一,08:15,台南市中西區城隍街,22.9902138,120.2083827,6,1,6,58,118
安平區,文平里,09月28日,一,08:15,台南市安平區建平五街80巷,22.9877336,120.1780478,2,4,2,18,36
南區,建南里,09月28日,一,08:15,台南市南區德興路232巷,22.960259,120.1914905,6,6,6,53,126
中西區,萬昌里、銀同里,09月28日,一,13:15,台南市中西區青年路226巷,22.9908646,120.21103,6,1,6,73,165
北區,大和里,09月28日,一,13:15,台南市北區文賢路799巷,23.0159725,120.1926548,6,1,6,53,112
東區,崇誨里,09月29日,二,08:15,台南市東區衛國街114巷,22.9878743,120.2246663,3,3,1,37,74
中西區,建國里,09月29日,二,08:15,台南市中西區西門路二段,22.9904876,120.1977304,7,3,1,37,118
南區,新昌里,09月29日,二,08:15,台南市南區府緯街,22.9838677,120.196137,8,4,1,52,118
東區,龍山里,09月29日,二,13:15,台南市東區富德街,22.9843377,120.2240941,2,1,1,6,12
中西區,青年里,09月29日,二,13:15,台南市中西區開山路,22.9884387,120.2080123,7,4,1,41,165
北區,大道里,09月29日,二,13:15,台南市北區和緯路一段96巷,23.0109078,120.214365,8,3,1,34,72
南區,大成里,09月29日,二,13:15,台南市南區新興東路,22.9796325,120.1996441,8,4,1,45,104
東區,裕農里,09月30日,三,08:15,台南市東區裕豐街214巷,22.9881152,120.2280762,4,3,1,25,50
中西區,光賢里,09月30日,三,08:15,台南市中西區和善街98巷,23.0028903,120.1901084,6,5,1,38,86
北區,中樓里,09月30日,三,08:15,台南市北區開元路,23.0076695,120.2208365,5,4,1,28,58
南區,明亮里,09月30日,三,08:15,台南市南區新都路,22.9687954,120.1991287,6,5,1,39,84
東區,裕農里,09月30日,三,13:15,台南市東區裕豐街214巷,22.9881152,120.2280762,4,3,1,25,50
中西區,福安里,09月30日,三,13:15,台南市中西區府前路一段304巷,22.9908137,120.1989929,6,5,1,38,86
北區,中樓里,09月30日,三,13:15,台南市北區開元路,23.0076695,120.2208365,5,4,1,28,58
南區,明亮里,09月30日,三,13:15,台南市南區新都路,22.9687954,120.1991287,6,5,1,39,84
東區,中西里,10月01日,四,08:15,台南市東區林森路二段113號旁空地,22.9902201,120.223755,3,2,1,22,44
中西區,元安里,10月01日,四,08:15,台南市中西區國華街三段,22.9965617,120.198531,6,5,1,45,100
南區,國宅里,10月01日,四,08:15,台南市南區新興路500巷,22.9752788,120.1863449,8,7,1,41,100
安平區,華平里,10月01日,四,08:15,台南市安平區建平八街450巷,22.9917157,120.1791517,2,1,1,18,36
中西區,三民里,10月01日,四,13:15,台南市中西區公園路,22.9954761,120.2056406,6,5,1,45,100
南區,文南里,10月01日,四,13:15,台南市南區健康二段,22.9817861,120.1896682,8,7,1,31,70
安南區,幸福里,10月01日,四,13:15,台南市安南區府安路六段,23.0172804,120.1871243,3,2,1,35,72
關廟區,香洋里,10月01日,四,13:15,台南市關廟區中央路,22.9602766,120.3301099,1,1,1,7,2
東區,崇信里,10月02日,五,08:15,台南市東區東門路二段,22.984154,120.2252435,5,4,1,35,75
中西區,赤嵌里,10月02日,五,08:15,台南市中西區觀亭街,22.9970723,120.205695,6,5,1,34,78
北區,永祥里,10月02日,五,08:15,臺南市北區實踐街85巷,23.0145383,120.2195684,4,3,1,19,40
南區,明興里,10月02日,五,08:15,台南市南區德興路,22.9624922,120.1925225,5,4,1,32,74
東區,德光里,10月02日,五,13:15,台南市東區崇善路,22.9726201,120.2297514,6,5,1,43,93
中西區,大南里,10月02日,五,13:15,台南市中西區南門路,22.9868385,120.2043061,6,5,1,44,100
北區,裕民里,10月02日,五,13:15,臺南市北區臨安路二段91巷,23.0035792,120.1957111,4,3,1,19,40
南區,明興里,10月02日,五,13:15,台南市南區德興路,22.9624922,120.1925225,6,5,1,32,74
東區,富裕里、富強里,10月03日,六,08:15,台南市東區裕農路446巷,22.9865039,120.2318238,6,5,1,58,123
南區,郡南里,10月03日,六,08:15,台南市南區德興路,22.9624922,120.1925225,8,7,1,52,116
安南區,溪頂里,10月03日,六,08:15,台南市安南區郡安路四段278巷,23.0284194,120.2054956,1,1,1,12,24
東區,富裕里、富強里,10月03日,六,13:15,台南市東區東門路二段301巷,22.9840553,120.229015,6,5,1,58,123
南區,日新里,10月03日,六,13:15,台南市南區鹽埕路291巷,22.9712933,120.1882543,7,6,1,27,64
安南區,幸福里,10月03日,六,13:15,台南市安南區國安街,23.0215535,120.1849909,2,1,1,52,114
中西區,開山里,10月04日,日,08:15,台南市中西區府前路一段,22.989087,120.2045916,6,5,1,43,96
北區,國興里,10月04日,日,08:15,台南市北區開元路394巷,23.0096771,120.2254785,4,3,1,24,48
永康區,埔園里,10月04日,日,08:15,台南市永康區四維街58巷,23.0324258,120.2531342,4,3,1,20,43
安平區,建平里,10月04日,日,08:15,台南市安平區建平十一街164巷,22.9960784,120.1806226,2,1,1,20,43
新化區,,10月04日,日,08:15,台南市新化區健康路,23.0331821,120.3060502,3,2,1,19,30
中西區,開山里,10月04日,日,13:15,台南市中西區府前路一段,22.989087,120.2045916,6,5,1,43,96
北區,五福里,10月04日,日,13:15,台南市北區成功路238巷,22.9998277,120.2031586,4,3,1,19,38
永康區,正強里,10月04日,日,13:15,台南市永康區正強街,23.0295168,120.251672,6,5,1,42,88
安平區,育平里,10月04日,日,13:15,台南市安平區育平四街,22.9895812,120.1687656,2,1,1,27,39
東區,圍下里,10月05日,一,08:15,台南市東區衛民街,22.99269,120.2125072,2,1,1,16,32
中西區,協和里,10月05日,一,08:15,台南市中西區成功路,22.999235,120.2024558,6,5,1,64,140
北區,安民里,10月05日,一,08:15,台南市北區海安路三段,23.0103002,120.2001781,4,3,1,22,46
南區,文華里,10月05日,一,08:15,台南市南區永華路一段,22.9878707,120.1934276,7,6,1,33,78
東區,圍下里,10月05日,一,13:15,台南市東區衛民街,22.99269,120.2125072,2,1,1,16,32
中西區,赤嵌里,10月05日,一,13:15,台南市中西區赤崁東街,22.997754,120.2034639,3,2,1,26,65
北區,大和里,10月05日,一,13:15,台南市北區文賢路799巷,23.0159725,120.1926548,5,4,1,29,60
南區,光明里,10月05日,一,13:15,台南市南區利南街,22.9718456,120.1889442,7,6,1,64,140
安平區,海頭里、港仔里,10月06日,二,08:15,台南市安平區安北路121巷15弄,23.0019235,120.1638985,4,3,1,34,71
安南區,國安里,10月06日,二,08:15,台南市安南區國安街156巷,23.0250423,120.1870767,1,1,1,23,46
東區,小東里,10月06日,二,08:15,台南市東區東和路,22.9984532,120.2275133,8,7,1,76,164
永康區,中興里,10月06日,二,13:15,台南市永康區中華路214巷,23.0050909,120.236121,6,5,1,80,175
安平區,海頭里、港仔里,10月06日,二,13:15,台南市安平區安北路121巷15弄,23.0019235,120.1638985,2,1,1,34,71
東區,大智里,10月06日,二,13:15,台南市東區崇善十四街,22.9649956,120.2323263,2,1,1,17,34
東區,東安里,10月07日,三,08:15,台南市東區林森路一段,22.982676,120.2173319,4,3,1,42,90
永康區,勝利里,10月07日,三,08:15,台南市永康區勝利街77巷,23.0018072,120.2319947,6,5,1,54,126
南區,大忠里,10月07日,三,08:15,台南市南區中華南路一段175巷25弄,22.9693566,120.2121505,8,7,1,42,112
東區,大同里,10月07日,三,13:15,台南市東區大同路一段141巷,22.9858319,120.2123533,4,3,1,42,90
永康區,勝利里,10月07日,三,13:15,台南市永康區中華一路,23.0043142,120.2342504,3,2,1,49,114
北區,新勝里,10月07日,三,13:15,台南市北區開元路333巷,23.0091621,120.2206391,4,3,1,19,40
南區,大忠里,10月07日,三,13:15,台南市南區中華南路一段175巷25弄,22.9693566,120.2121505,7,6,1,49,110
東區,富裕里、富強里,10月08日,四,08:15,台南市東區裕農路446巷,22.9865039,120.2318238,4,3,1,35,78
中西區,萬昌里,10月08日,四,08:15,台南市中西區青年路226巷,22.9908646,120.21103,6,5,1,33,78
北區,大豐里,10月08日,四,08:15,台南市北區武聖路,23.0074495,120.1878665,4,3,1,34,70
安平區,港仔里,10月08日,四,08:15,台南市安平區安平路75巷18弄,22.9988483,120.1645873,1,1,1,14,28
南區,金華里-A,10月08日,四,08:15,台南市南區慶南街,22.978402,120.1900724,4,3,1,25,54
南區,金華里-B,10月08日,四,08:15,台南市南區新孝路126巷17弄,22.9784428,120.1863091,2,1,1,17,38
永康區,西橋里,10月08日,四,08:15,台南市永康區中山南路43巷,23.0131714,120.2262785,6,5,1,33,78
安南區,溪墘里,10月08日,四,08:15,台南市安南區海佃路一段,23.0246827,120.1913975,1,1,1,12,24
東區,關聖里、南聖里、東聖里,10月08日,四,13:15,台南市東區富農街二段108巷,22.9873498,120.2360971,6,5,1,51,114
中西區,萬昌里,10月08日,四,13:15,台南市中西區青年路226巷,22.9908646,120.21103,6,5,1,33,78
北區,力行里,10月08日,四,13:15,台南市北區東豐路451巷,23.0031828,120.2279024,4,3,1,23,48
安平區,平安里,10月08日,四,13:15,台南市安平區安平路606巷53弄,23.000765,120.1685292,1,1,1,12,24
南區,白雪里、光明里,10月08日,四,13:15,台南市南區鹽埕路159巷,22.9690929,120.1874864,5,4,1,38,84
永康區,西橋里,10月08日,四,13:15,台南市永康區中山南路43巷,23.0131714,120.2262785,2,1,1,8,18
永康區,勝利里,10月08日,四,13:15,台南市永康區勝利里勝華街37巷,23.0057523,120.2336874,6,5,1,38,90
東區,衛國里,10月09日,五,08:15,台南市東區衛國街114巷,22.9878743,120.2246663,10,9,1,49,104
中西區,仙草里,10月09日,五,08:15,台南市中西區府緯街4巷6號,22.984497,120.199521,6,5,1,30,70
北區,成功里,10月09日,五,08:15,台南市北區北成路128巷,23.0207307,120.2094229,6,5,1,31,64
安平區,港仔里,10月09日,五,08:15,台南市安平區運河路13巷,22.9993744,120.1628406,2,1,1,30,60
安南區,安和里,10月09日,五,08:15,台南市安南區安和路一段96巷,23.0288794,120.2154452,2,1,1,30,64
南區,竹溪里,10月09日,五,08:15,台南市南區體育路45巷,22.9791098,120.2070723,4,3,1,28,62
永康區,勝利里,10月09日,五,08:15,台南市永康區勝學路111號,23.0036415,120.2307674,8,7,1,45,90
東區,大德里,10月09日,五,13:15,台南市東區立德九路,22.9753199,120.2165693,4,3,1,41,88
中西區,仙草里,10月09日,五,13:15,台南市中西區府緯街4巷6號,22.984497,120.199521,6,5,1,30,70
北區,力行里,10月09日,五,13:15,台南市北區力行一街,23.0082926,120.2286683,4,3,1,23,52
南區,竹溪里,10月09日,五,13:15,台南市南區體育路25巷,22.9803105,120.2080374,5,4,1,28,64
永康區,勝利里,10月09日,五,13:15,台南市永康區勝利街1巷,23.0014551,120.2301644,8,7,1,45,98
東區,崇誨里、裕農里,10月10日,六,08:15,台南市東區林森路二段192巷,22.9896267,120.2256341,6,5,1,50,108
安平區,文平里,10月10日,六,08:15,台南市安平區建平六街,22.9872508,120.1839696,2,2,1,15,30
安南區,安富里,10月10日,六,08:15,台南市安南區海佃路一段158巷,23.0247246,120.1949686,2,2,1,47,105
南區,大林里,10月10日,六,08:15,台南市南區大林路111巷9弄,22.9739325,120.2109676,5,4,1,44,96
東區,大福里,10月10日,六,13:30,台南市東區立德四路,22.9757347,120.2155959,2,1,1,19,40
安平區,平安里,10月10日,六,13:30,台南市安平區安平路446巷,22.9986122,120.1736059,2,1,1,11,22
安南區,溪東里,10月10日,六,13:30,台南市安南區府安路五段11巷59弄,23.0267702,120.2029256,2,2,1,27,58
南區,大林里,10月10日,六,13:30,台南市南區大林路111巷9弄,22.9739325,120.2109676,5,4,1,44,96
中西區,仙草里,10月11日,日,08:15,台南市中西區府緯街4巷,22.9843003,120.1995851,6,5,1,27,56
北區,開元里,10月11日,日,08:15,台南市北區實踐街103巷,23.0145675,120.2206789,4,3,1,25,52
永康區,安康里,10月11日,日,08:15,台南市永康區中華路619巷,23.0139843,120.2287064,6,5,1,26,60
仁德區,仁德里,10月11日,日,08:15,台南市仁德區中山路870巷221弄,22.9759794,120.2412766,1,1,1,4,2
仁德區,成功里,10月11日,日,08:15,台南市仁德區保生東路218巷,22.9564417,120.2321356,1,1,1,2,2
善化區,東關里,10月11日,日,08:15,台南市善化區中山路,23.1320504,120.2952307,1,1,1,11,2
新化區,豐榮里,10月11日,日,08:15,台南市新化區正新路,23.0363782,120.302878,1,1,1,7,2
中西區,仙草里,10月11日,日,13:30,台南市中西區府緯街4巷,22.9843003,120.1995851,6,5,1,27,56
北區,勝安里,10月11日,日,13:30,台南市北區開元路73巷,23.0071693,120.2176377,4,3,1,21,44
永康區,安康里,10月11日,日,13:30,台南市永康區中華路619巷,23.0139843,120.2287064,6,5,1,26,60
東區,泉南里,10月12日,一,08:15,台南市東區府連路326巷,22.9850236,120.2156011,7,6,1,56,127
中西區,開山里,10月12日,一,08:15,台南市中西區府前路一段,22.989087,120.2045916,6,5,1,26,62
北區,文成里,10月12日,一,08:15,台南市北區文賢一路,23.0081211,120.1960877,4,3,1,27,56
