區域,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
安南區,溪心里,07月27日,一,13:45,海佃路二路766巷,23.0456579,120.1850122,1,1,1,3,0
安定區,蘇林里,07月27日,一,14:00,台南市安定區安定里,23.1115672,120.2541575,1,1,0,3,0
東區,小東里,07月27日,一,13:45,東興路314巷,22.9970887,120.2301919,1,1,1,5,2
安南區,新順里,07月28日,二,08:30,北安路三段745巷,23.0506248,120.2110009,1,1,1,3,0
安平區,建平里,07月28日,二,08:30,建平九街60巷,22.9914769,120.1808312,1,1,1,3,0
中西區,民生里,07月28日,二,08:45,台南市中西區南華街,22.990054,120.1913953,2,2,2,6,5
中西區,天后里,07月28日,二,13:45,台南市中西區新美街,22.996857,120.2009336,1,1,1,2,0
南區,廣州里,07月28日,二,13:45,台南市南區福吉四街,22.9834304,120.19272,1,1,1,4,0
永康區,鹽洲里,07月28日,二,13:45,台南市永康區中正南路,23.0304086,120.2254429,1,1,1,3,0
東區,東明里,07月28日,二,13:50,東安路12巷,22.9910387,120.2260287,1,1,1,1,0
安南區,安慶里,07月29日,三,08:50,安中路一段189巷70弄,23.0341993,120.2059681,1,1,1,7,8
安南區,總頭里,07月29日,三,13:50,長溪路二段570巷,23.054903,120.2036206,1,1,1,4,4
永康區,中華里,07月29日,三,13:45,忠義街10巷,22.9990048,120.2372032,1,1,1,4,0
北區,永祥里,07月30日,四,08:30,北區實踐街39巷122弄,23.0168449,120.2194341,2,2,2,10,
北區,勝安里,07月30日,四,08:30,北區開元路73巷,23.0072221,120.217579,1,1,1,8,
中西區,公正里,07月30日,四,08:45,台南市中西區衛民街,22.993104,120.2090726,1,1,1,8,
永康區,大橋里,07月30日,四,13:45,台南市永康區大橋五街,23.0217347,120.227811,1,1,1,2,
安南區,海西里,07月30日,四,08:50,海中街169巷,23.0411775,120.1828183,1,1,1,3,
永康區,二王里,07月30日,四,13:45,中山南路490巷12弄,23.0173325,120.2396035,1,1,1,4,
北區,興南里,07月30日,四,13:30,北區西門路4段16巷31弄,23.006219,120.2086646,1,1,1,5,
北區,興南里,07月30日,四,13:30,北區西門路4段16巷31弄,23.006219,120.2086646,,,,5,
安平區,文平里,07月31日,五,08:30,中華西路二段49巷,22.9875552,120.1860761,1,1,1,2,0
安平區,平通里,07月31日,五,08:30,台南市安平區育平八街,22.9944595,120.1654334,1,1,1,2,0
中西區,光賢里,07月31日,五,08:45,台南市中西區和善街125巷34弄,23.0024845,120.1882181,1,1,1,6,5
永康區,六合里,07月31日,五,08:45,台南市永康區新興街,23.0117957,120.2287348,1,1,1,3,0
安南區,新順里,07月31日,五,08:50,台南市安南區安生街49巷,23.0445194,120.2151845,1,1,1,4,0
北區,大山里、大道里,07月31日,五,13:30,北區旭日街,23.0104083,120.2137395,2,2,2,10,15
北區,成德里,07月31日,五,13:30,台南市北區西門路四段,23.0124842,120.2090936,2,2,2,4,0
南區,大忠里,07月31日,五,13:45,中華南路一段186巷20弄,22.9710919,120.2112384,1,1,1,4,2
中西區,普濟里,07月31日,五,13:45,台南市中西區海安路二段,22.9968601,120.1972918,0,0,0,1,0
南區,同安里,08月01日,六,13:45,明興路1425巷,22.9209313,120.1848566,1,1,1,3,1
南區,文華里,08月01日,六,13:45,臺南市南區德南街,22.9868104,120.188318,1,1,1,2,3
安南區,安富里,08月01日,六,13:50,府安路五段223巷,23.0232037,120.1948804,1,1,1,4,8
安平區,西門里,08月02日,日,08:30,台南市安平區古堡街,23.0027808,120.1576527,1,1,1,1,0
永康區,北灣里,08月02日,日,08:45,大灣路37巷,23.0126707,120.2721369,1,1,1,3,6
永康區,安康里,08月02日,日,13:45,中華路703巷,23.0156598,120.226685,1,1,1,2,6
北區,正覺里,08月02日,日,13:45,公園路597巷,23.0140083,120.2114415,,,,2,
安南區,安慶里,08月03日,一,08:50,長溪路一段168巷190弄,23.0403482,120.2099341,1,1,1,2,0
安南區,淵東里,08月03日,一,08:50,本源街三段234巷106弄,23.0569833,120.1739343,1,1,1,5,5
歸仁區,六甲里,08月03日,一,09:00,台南市歸仁區中正南路一段,22.9565771,120.2826501,1,1,1,3,0
北區,正覺里,08月03日,一,13:30,北安路一段51巷2弄,23.0150063,120.2113248,1,1,1,7,4
北區,正覺里,08月04日,二,08:30,台南市公園路,23.0062443,120.210256,2,2,2,9,16
南區,文華里,08月04日,二,13:45,台南市建南路,22.9849463,120.190434,0,0,0,2,0
北區,正覺里,08月05日,三,08:30,台南市公園路,23.0062443,120.210256,4,4,4,9,6
永康區,西勢里,08月05日,三,08:45,富強路一段194巷,23.0171145,120.274795,1,1,1,7,0
安平區,文平里,08月05日,三,13:30,中華西路二段49巷,22.9875552,120.1860761,1,1,1,4,0
南區,廣州里,08月05日,三,13:45,台南市南區福吉四街,22.9834304,120.19272,1,1,1,5,0
中西區,民主里,08月05日,三,13:45,台南市中西區中正路,22.9927805,120.1985826,2,1,2,4,0
